hotel_name,street,city,state,country,zip,class,price,num_reviews,nr_norm,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,overall_ratingsource
hotel mayflower,975 bush street,san francisco,ca,USA,94109,2,-1,91,14,4.3333333333,4.012345679,4.3086419753,4.3580246914,4.4074074074,4.2839506173
phoenix hotel,601 eddy street,san francisco,ca,USA,94109,2,209,162,11,4.3620689655,4.0086206897,4.4655172414,3.3793103448,4.1982758621,4.0827586207
coventry motor inn,1901 lombard street,san francisco,ca,USA,94123,2,-1,103,15,4.5189873418,4.253164557,4.2278481013,4.3417721519,4.4303797468,4.3544303797
hotel del sol,3100 webster street,san francisco,ca,USA,94123,3,216,162,10,4.3255813953,3.9069767442,4.3953488372,4.3604651163,4.1627906977,4.2302325581
grosvenor suites,899 pine street,san francisco,ca,USA,94108,3,135,240,15,4.0820895522,3.7910447761,3.947761194,4.5671641791,4.3358208955,4.1447761194
best western tuscan inn fisherman s wharf a kimpton hotel,425 north point street,san francisco,ca,USA,94133,4,171,518,8,4.4892086331,3.9820143885,4.1294964029,4.6258992806,4.0539568345,4.2561151079
hotel adagio,550 geary street,san francisco,ca,USA,94102,3,199,376,12,4.2682926829,4.0243902439,4.0609756098,4.25,4.006097561,4.1219512195
holiday inn express san francisco fisherman s wharf,550 north point street,san francisco,ca,USA,94133,-1,-1,421,12,4.3865248227,4.0354609929,4.0957446809,4.6063829787,4.0106382979,4.2269503546
hotel nikko san francisco,222 mason street,san francisco,ca,USA,94102,4,180,379,13,4.1755102041,4,4.0204081633,4.5142857143,3.7918367347,4.1004081633
courtyard san francisco downtown,299 second street,san francisco,ca,USA,94105,-1,-1,150,12,4.5319148936,4.2872340426,4.2127659574,4.0319148936,4.1595744681,4.2446808511
cow hollow motor inn and suites,2190 lombard street,san francisco,ca,USA,94123,2,284,135,13,4.2987012987,4.038961039,3.7532467532,4.4545454545,4.4285714286,4.1948051948
palace hotel,2 new montgomery street,san francisco,ca,USA,94105,4,265,355,9,4.2489451477,3.9029535865,3.970464135,4.552742616,3.805907173,4.0962025316
hotel triton a kimpton hotel,342 grant avenue,san francisco,ca,USA,94108,3,161,163,12,4.2823529412,3.8235294118,4.2470588235,4.5529411765,3.9529411765,4.1717647059
hotel diva,440 geary street,san francisco,ca,USA,94102,3,162,220,9,4.3467741935,3.8709677419,4.1693548387,4.5967741935,4.064516129,4.2096774194
the mosser,54 fourth street,san francisco,ca,USA,94103,3,152,343,12,4.4019933555,3.6877076412,4.1262458472,4.6910299003,4.2990033223,4.2411960133
best western hotel tomo,1800 sutter street,san francisco,ca,USA,94115,3,157,133,8,4.4695652174,4.252173913,4.0086956522,4.2347826087,4.1304347826,4.2191304348
galleria park,191 sutter street & kearny street,san francisco,ca,USA,94104,3,189,193,10,4.2481203008,3.7593984962,4.030075188,4.5639097744,4.0827067669,4.1368421053
parc 55 hotel,55 cyril magnin street,san francisco,ca,USA,94102,4,188,333,11,4.2093023256,3.9568106312,3.7408637874,4.5382059801,3.8438538206,4.057807309
westin san francisco market street,50 third street,san francisco,ca,USA,94103,-1,-1,393,11,4.3602941176,4.0955882353,3.8345588235,4.5514705882,3.9080882353,4.15
renaissance stanford court,905 california street,san francisco,ca,USA,94108,4,140,294,10,4.3417721519,3.9367088608,4.1012658228,4.4493670886,3.9810126582,4.1620253165
jackson court san francisco,2198 jackson street,san francisco,ca,USA,94115,-1,-1,17,12,4,4.6666666667,4.1666666667,4.8333333333,4.1666666667,4.3666666667
jw marriott san francisco union square,500 post street,san francisco,ca,USA,94102,4,209,282,8,4.3955223881,4.1492537313,4.2910447761,4.6044776119,3.8955223881,4.2671641791
nob hill motor inn,1630 pacific avenue,san francisco,ca,USA,94109,2,194,365,9,4.3260869565,3.9202898551,4.231884058,4.268115942,4.231884058,4.1956521739
campton place hotel,340 stockton street,san francisco,ca,USA,94108,5,285,95,15,4.5106382979,4.2553191489,4.3404255319,4.829787234,3.8085106383,4.3489361702
hotel kabuki,1625 post st,san francisco,ca,USA,94115,4,161,198,12,4.2947976879,4.0751445087,3.9421965318,4.1445086705,4.0057803468,4.0924855491
larkspur hotel union square,524 sutter street,san francisco,ca,USA,94102,3,156,285,12,4.3522727273,3.5454545455,4.1590909091,4.5738636364,4.0738636364,4.1409090909
the queen anne hotel,1590 sutter street,san francisco,ca,USA,94109,3,199,111,10,4.1186440678,4.1694915254,4.2542372881,4.0847457627,4.2203389831,4.1694915254
the good hotel,112 seventh street,san francisco,ca,USA,94103,2,136,79,13,4.4520547945,3.9315068493,4.0136986301,3.4520547945,4.2739726027,4.0246575342
redwood inn,1530 lombard street,san francisco,ca,USA,94123,2,179,115,13,4.3103448276,3.8275862069,4.3793103448,4.224137931,4.1206896552,4.1724137931
best western carriage inn,140 seventh street,san francisco,ca,USA,94103,3,245,86,14,4.4791666667,4.2291666667,4.2291666667,3.2916666667,4.1458333333,4.075
inn at the opera,333 fulton street,san francisco,ca,USA,94102,3,195,83,10,4.3725490196,3.7254901961,4.4901960784,4.1764705882,4.0196078431,4.1568627451
handlery union square hotel,351 geary street,san francisco,ca,USA,94102,3,179,443,13,4.0110294118,3.6617647059,3.9375,4.6433823529,3.8161764706,4.0139705882
hilton san francisco union square,333 o'farrell st,san francisco,ca,USA,94102,4,197,333,12,4.3023255814,3.7375415282,3.8837209302,4.3122923588,3.5980066445,3.9667774086
the stratford,242 powell street,san francisco,ca,USA,94102,-1,-1,184,12,4.1317829457,3.1937984496,3.7519379845,4.7751937984,4.1085271318,3.992248062
hyatt regency san francisco,5 embarcadero center,san francisco,ca,USA,94111,4,229,333,10,4.2647058824,3.9803921569,4.0784313725,4.6078431373,3.7303921569,4.1323529412
hotel vertigo,940 sutter street,san francisco,ca,USA,94109,3,303,97,10,4.0714285714,3.619047619,3.9880952381,3.880952381,3.9047619048,3.8928571429
baldwin hotel,321 grant ave,san francisco,ca,USA,94108,3,-1,146,8,4.2807017544,3.6666666667,3.9736842105,4.701754386,4.4035087719,4.2052631579
andrews hotel,624 post street,san francisco,ca,USA,94109,3,154,147,9,3.9066666667,3.4266666667,4.24,4.4266666667,4.16,4.032
the grant hotel,753 bush street,san francisco,ca,USA,94108,2,129,135,14,3.8539325843,3.4157303371,3.5056179775,4.5730337079,4.1460674157,3.8988764045
hotel bijou,111 mason street,san francisco,ca,USA,94102,3,172,163,11,4.0736842105,3.5052631579,3.9578947368,4.0947368421,3.9578947368,3.9178947368
intercontinental mark hopkins san francisco,number one nob hill,san francisco,ca,USA,94108,4,170,323,8,4.4365482234,4.0507614213,3.8680203046,4.345177665,3.7766497462,4.0954314721
courtyard by marriott fisherman s wharf,580 beach street,san francisco,ca,USA,94133,4,223,102,11,4.2089552239,4,4.1194029851,4.6119402985,3.9402985075,4.176119403
beresford arms,701 post street,san francisco,ca,USA,94109,3,175,171,11,4.0217391304,3.6413043478,3.7826086957,4.1630434783,4.0869565217,3.9391304348
cova hotel,655 ellis street,san francisco,ca,USA,94109,3,169,51,13,4.6382978723,4.4255319149,4.2340425532,2.829787234,4.2340425532,4.0723404255
cornell hotel de france,715 bush street,san francisco,ca,USA,94108,3,238,71,15,4.152173913,3.5434782609,3.8913043478,4.652173913,4.2608695652,4.1
hilton san francisco financial district,750 kearny street,san francisco,ca,USA,94108,4,225,365,9,4.2925925926,3.9148148148,3.7333333333,4.1888888889,3.7888888889,3.9837037037
prescott hotel a kimpton hotel,545 post street,san francisco,ca,USA,94102,-1,-1,216,15,4.2255639098,3.7142857143,4,4.5939849624,3.9323308271,4.0932330827
marriott san francisco fisherman s wharf,1250 columbus avenue,san francisco,ca,USA,94133,4,170,176,14,4.1276595745,3.829787234,3.9680851064,4.2978723404,3.4255319149,3.929787234
grand hyatt san francisco,345 stockton street,san francisco,ca,USA,94108,4,221,352,9,4.1359649123,3.7280701754,4.0438596491,4.7763157895,3.6842105263,4.0736842105
holiday inn san francisco fishermans wharf,1300 columbus avenue,san francisco,ca,USA,94133,3,168,342,10,4.1542288557,3.8507462687,3.7860696517,4.4676616915,3.6965174129,3.9910447761
executive hotel vintage court,650 bush street,san francisco,ca,USA,94108,3,152,162,8,3.5733333333,3.2533333333,3.76,4.4666666667,3.72,3.7546666667
hotel fusion,140 ellis street,san francisco,ca,USA,94102,3,166,180,8,4.3609022556,3.5939849624,4.007518797,4.6616541353,4.0902255639,4.1428571429
hotel frank,386 geary street,san francisco,ca,USA,94102,1,-1,51,15,4.1777777778,3.9111111111,3.7555555556,4.7555555556,3.9111111111,4.1022222222
chelsea motor inn,2095 lombard st,san francisco,ca,USA,94123,2,198,87,12,4.2777777778,4,3.9074074074,4.1296296296,4.462962963,4.1555555556
best western americania,121 7th street,san francisco,ca,USA,94103,3,217,142,11,4.0465116279,3.6162790698,3.7790697674,2.976744186,3.6627906977,3.6162790698
sheraton fisherman s wharf hotel,2500 mason street,san francisco,ca,USA,94133,4,290,467,13,4.1208791209,3.6776556777,3.8131868132,4.5091575092,3.4688644689,3.9179487179
best western the hotel california,580 geary street,san francisco,ca,USA,94102,-1,-1,183,9,4.1682242991,3.7943925234,3.9252336449,4.0841121495,3.8037383178,3.9551401869
warwick san francisco hotel,490 geary street,san francisco,ca,USA,94102,3,175,131,14,4.1075268817,3.7956989247,3.935483871,4.4731182796,3.9247311828,4.047311828
hotel griffon,155 steuart street,san francisco,ca,USA,94105,3,161,72,8,4.3962264151,3.641509434,4.1320754717,4.679245283,3.8490566038,4.1396226415
hotel union square,114 powell street,san francisco,ca,USA,94102,3,180,190,10,3.9769230769,3.2153846154,3.7923076923,4.5923076923,3.5384615385,3.8230769231
san francisco at the presidio travelodge,2755 lombard street,san francisco,ca,USA,94123,2,241,41,9,3.8823529412,3.6470588235,4.2058823529,4.4411764706,4.1176470588,4.0588235294
clift hotel san francisco,495 geary street,san francisco,ca,USA,94102,4,190,385,10,4.0220264317,3.3832599119,3.5418502203,4.3744493392,3.3568281938,3.7356828194
the westin st francis,335 powell street,san francisco,ca,USA,94102,4,209,365,12,3.9700996678,3.5714285714,3.6046511628,4.73089701,3.3554817276,3.8465116279
san francisco marriott marquis,55 fourth street,san francisco,ca,USA,94103,4,189,285,13,4.1513513514,4.0594594595,3.9459459459,4.5891891892,3.7513513514,4.0994594595
marina motel,2576 lombard st,san francisco,ca,USA,94123,2,189,56,15,3.7631578947,3.1842105263,3.7631578947,4.1578947368,3.7631578947,3.7263157895
hotel metropolis,25 mason st,san francisco,ca,USA,94102,3,196,131,12,3.8307692308,3.5076923077,3.9692307692,3.2153846154,3.8307692308,3.6707692308
club quarters san francisco,424 clay street,san francisco,ca,USA,94111,3,153,142,12,4.1449275362,3.5652173913,3.8405797101,4.1304347826,3.9710144928,3.9304347826
comfort inn by the bay,2775 van ness avenue,san francisco,ca,USA,94109,3,198,212,14,3.9454545455,3.6272727273,3.6363636364,4.1454545455,3.8,3.8309090909
w san francisco,181 third street,san francisco,ca,USA,94103,4,266,231,14,4.3070866142,3.8267716535,3.6614173228,4.2834645669,3.157480315,3.8472440945
the gaylord,620 jones street,san francisco,ca,USA,94102,3,-1,44,8,4.0588235294,4.0588235294,3.6470588235,3.8823529412,4.1470588235,3.9588235294
sir francis drake hotel a kimpton hotel,450 powell street,san francisco,ca,USA,94102,4,179,322,14,3.8073770492,3.3278688525,3.7213114754,4.7049180328,3.5983606557,3.8319672131
king george hotel,334 mason st @ geary,san francisco,ca,USA,94102,3,185,180,14,3.7171717172,3.1111111111,3.8686868687,4.4646464646,3.797979798,3.7919191919
holiday inn san francisco golden gateway,1500 van ness avenue,san francisco,ca,USA,94109,3,189,229,15,3.8732394366,3.5352112676,3.676056338,3.838028169,3.6690140845,3.7183098592
the wharf inn,2601 mason street,san francisco,ca,USA,94133,2,160,104,11,4.0517241379,3.4482758621,3.9482758621,4.6896551724,3.9827586207,4.024137931
town house,1650 lombard street,san francisco,ca,USA,94123,-1,-1,17,8,3.7777777778,3.2222222222,3.5555555556,4.6666666667,4.2222222222,3.8888888889
travelodge golden gate san francisco,2230 lombard street,san francisco,ca,USA,94123,2,241,75,9,4.0277777778,3.4722222222,3.75,4,3.8888888889,3.8277777778
the archbishop s mansion,1000 fulton street,san francisco,ca,USA,94117,1,-1,48,8,4.2,3.8,4,3.6,3.6,3.84
powell hotel,28 cyril magnin street,san francisco,ca,USA,94102,-1,-1,177,8,3.3541666667,3.125,3.5833333333,4.7083333333,3.5625,3.6666666667
buena vista motor inn,1599 lombard st,san francisco,ca,USA,94123,2,177,112,14,3.4769230769,3.3384615385,3.6461538462,3.9384615385,3.7692307692,3.6338461538
hotel mark twain,345 taylor street,san francisco,ca,USA,94102,3,202,91,11,3.4736842105,2.9298245614,3.5614035088,3.5614035088,3.3684210526,3.3789473684
radisson hotel fisherman s wharf,250 beach street,san francisco,ca,USA,94133,3,191,353,13,3.671875,3.3177083333,3.4947916667,4.5052083333,3.3854166667,3.675
hotel majestic,1500 sutter street,san francisco,ca,USA,94109,3,192,85,12,3.7297297297,3.3243243243,3.6486486486,3.8648648649,3.6756756757,3.6486486486
hotel whitcomb,1231 market street,san francisco,ca,USA,94103,3,159,365,9,3.6374501992,3.3625498008,3.6414342629,3.3505976096,3.6852589641,3.5354581673
layne hotel,545 jones street,san francisco,ca,USA,94102,2,149,87,14,3.875,3.6071428571,3.9107142857,3.9107142857,3.8035714286,3.8214285714
la luna inn,2599 lombard st,san francisco,ca,USA,94123,2,199,82,13,3.8235294118,3.4558823529,3.8088235294,3.6029411765,3.6617647059,3.6705882353
hilton san francisco fisherman s wharf,2620 jones street,san francisco,ca,USA,94133,-1,-1,131,10,4.0886075949,3.3924050633,3.7848101266,4.5696202532,3.3417721519,3.835443038
sw hotel,615 broadway,san francisco,ca,USA,94133,3,234,37,14,4.05,3.5,3.7,4.6,3.6,3.89
touchstone hotel,480 geary street,san francisco,ca,USA,94102,2,124,15,10,3.7142857143,3.1428571429,3.6428571429,4.6428571429,3.9285714286,3.8142857143
park hotel,325 sutter street,san francisco,ca,USA,94108,-1,-1,61,14,3.3148148148,3.0740740741,3.7037037037,4.6666666667,3.7962962963,3.7111111111
lombard motor inn,1475 lombard st,san francisco,ca,USA,94123,2,247,41,8,4,3.52,3.32,4.28,3.8,3.784
alexis park san francisco,825 polk street,san francisco,ca,USA,94109,2,131,21,8,4.25,3.75,3.9166666667,3.1666666667,3.6666666667,3.75
geary parkway motel,4750 geary boulevard,san francisco,ca,USA,94118,2,156,17,8,4.5,4.125,3.75,4.125,4.375,4.175
good nite inn san francisco airport,245 south airport boulevard,san francisco,ca,USA,94080,2,98,58,12,2.7435897436,2.641025641,2.7179487179,3.5384615385,3.1282051282,2.9538461538
hotel beresford,635 sutter street,san francisco,ca,USA,94102,2,153,82,11,3.5636363636,2.8727272727,3.2363636364,4.2181818182,3.5272727273,3.4836363636
stanyan park hotel,750 stanyan street,san francisco,ca,USA,94117,3,202,24,12,4.2727272727,3.1818181818,3.7272727273,3.9090909091,3.3636363636,3.6909090909
adante hotel,610 geary street,san francisco,ca,USA,94102,2,178,152,13,3.7283950617,3.1728395062,3.5185185185,4.0740740741,3.7160493827,3.6419753086
the opal san francisco,1050 van ness ave,san francisco,ca,USA,94109,3,159,196,10,3.5983606557,3.2704918033,3.4016393443,3.5573770492,3.606557377,3.4868852459
hotel milano,55 fifth street,san francisco,ca,USA,94103,4,218,52,11,4,3.5294117647,3.1764705882,4.7058823529,3.5294117647,3.7882352941
royal pacific motor inn,661 broadway,san francisco,ca,USA,94133,2,180,26,12,3.5,3.2222222222,3.5,4.2777777778,3.7777777778,3.6555555556
the pickwick,85 fifth street,san francisco,ca,USA,94103,3,165,106,12,3.4912280702,3.1228070175,3.1578947368,4.4035087719,3.5438596491,3.5438596491
cathedral hill hotel,1101 van ness avenue,san francisco,ca,USA,94109,3,-1,248,13,3.2071005917,2.7573964497,3.4082840237,3.4023668639,3.1834319527,3.1917159763
fitzgerald hotel union square,620 post street,san francisco,ca,USA,94109,2,158,46,8,3.4761904762,2.8571428571,3.3333333333,4.4285714286,3.380952381,3.4952380952
broadway manor inn,2201 van ness ave,san francisco,ca,USA,94109,2,125,113,14,3.5820895522,3.552238806,3.1044776119,3.9253731343,3.5223880597,3.5373134328
francisco bay inn,1501 lombard st,san francisco,ca,USA,94123,2,153,154,11,3.3333333333,3.0666666667,2.5555555556,3.3333333333,2.8888888889,3.0355555556
the metro hotel,319 divisadero street,san francisco,ca,USA,94117,4,-1,33,9,3.4736842105,2.8421052632,3.7368421053,4.1578947368,3.6315789474,3.5684210526
vagabond inn san francisco civic center,385 9th street,san francisco,ca,USA,94103,2,130,14,10,3.2222222222,3.1111111111,3.6666666667,3.3333333333,3.6666666667,3.4
hotel des arts,447 bush st.,san francisco,ca,USA,94108,2,164,177,9,3.3894736842,2.9684210526,3.0631578947,4.4,3.2526315789,3.4147368421
marina inn,3110 octavia street,san francisco,ca,USA,94123,-1,-1,87,12,3.3902439024,3.0243902439,3.3414634146,4.0243902439,3.6097560976,3.4780487805
beck s motor lodge,2222 market street,san francisco,ca,USA,94114,2,239,54,12,3.375,2.9166666667,3.2916666667,4.4583333333,3.5,3.5083333333
seal rock inn,545 point lobos avenue,san francisco,ca,USA,94121,2,-1,41,13,3.4736842105,3.2105263158,3.5263157895,4.2105263158,3.5263157895,3.5894736842
nob hill hotel,835 hyde street,san francisco,ca,USA,94109,3,206,103,8,3.0731707317,2.487804878,2.4634146341,2.8292682927,2.6585365854,2.7024390244
monarch hotel,1015 geary street,san francisco,ca,USA,94109,2,136,81,15,3.1666666667,2.8333333333,2.6944444444,2.6388888889,3.3611111111,2.9388888889
capri motel,2015 greenwich st,san francisco,ca,USA,94123,2,180,23,14,3.8461538462,3.3846153846,3.5384615385,4.1538461538,3.6923076923,3.7230769231
archstone south market,1 saint francis place,san francisco,ca,USA,94107,-1,-1,3,3,4,4,3,4,4,3.8
greenwich inn,3201 steiner street,san francisco,ca,USA,94123,2,192,45,11,3.3823529412,2.9705882353,3.0588235294,4.0882352941,3.5588235294,3.4117647059
the herbert hotel,161 powell street,san francisco,ca,USA,94102,2,127,60,14,3.2972972973,3.0540540541,2.8108108108,4.5405405405,3.4054054054,3.4216216216
americas best value inn golden gate,2322 lombard street,san francisco,ca,USA,94123,-1,-1,42,15,3.0857142857,2.8,3.0571428571,3.8285714286,3.0285714286,3.16
the dakota hotel,606 post street,san francisco,ca,USA,94109,2,149,55,12,2.7142857143,2.8214285714,3.2142857143,4.1428571429,3.4642857143,3.2714285714
astoria hotel,510 bush street,san francisco,ca,USA,94108,2,169,91,15,3.3181818182,2.5757575758,3.0909090909,4.6060606061,3.6515151515,3.4484848485
bay bridge inn,966 harrison street,san francisco,ca,USA,94107,2,174,24,15,3.1428571429,2.7142857143,3.2857142857,2.7857142857,3.2857142857,3.0428571429
edward ii inn and suites,3155 scott street,san francisco,ca,USA,94123,-1,-1,39,8,3.0454545455,2.5454545455,3.7272727273,4.0909090909,3.1818181818,3.3181818182
the hotel tropicana,663 valencia street,san francisco,ca,USA,94110,2,139,13,8,3.6666666667,3.3333333333,2.8333333333,3.8333333333,3.3333333333,3.4
halcyon hotel,649 jones st,san francisco,ca,USA,94102,2,-1,35,15,3.5454545455,3.0454545455,3.4545454545,3.9090909091,3.7272727273,3.5363636364
hotel cosmo,761 post street,san francisco,ca,USA,94109,-1,-1,28,10,3,3.3333333333,3.6666666667,4.6666666667,3.6666666667,3.6666666667
rodeway inn downtown,101 9th street,san francisco,ca,USA,94103,2,144,32,8,2.9333333333,2.4666666667,3.1333333333,2.5333333333,2.7333333333,2.76
holiday inn civic center san francisco,50 8th street,san francisco,ca,USA,94103,4,144,112,10,3.6666666667,3.2280701754,3.4736842105,2.8771929825,3.0877192982,3.2666666667
grant plaza hotel,465 grant avenue,san francisco,ca,USA,94108,2,144,143,12,3.0149253731,2.5074626866,3.2537313433,4.328358209,3.3731343284,3.2955223881
best western civic center motor inn,364 ninth street at harrison,san francisco,ca,USA,94103,2,172.25,62,15,3.6363636364,3.2045454545,3.4318181818,3.1818181818,3.5227272727,3.3954545455
days inn lombard street,2358 lombard street,san francisco,ca,USA,94123,2,224,34,8,2.8636363636,2.5454545455,2.5909090909,3.5454545455,2.6363636364,2.8363636364
union square plaza hotel,432 geary street,san francisco,ca,USA,94102,2,124.5,77,15,2.62,2.68,2.94,4.26,3.26,3.152
synergy avalon mission bay,255 king st,san francisco,ca,USA,94107,-1,-1,1,1,5,5,4,5,5,4.8
crescent san francisco,417 stockton street,san francisco,ca,USA,94108,-1,-1,6,6,5,4.3333333333,4.6666666667,5,4.6666666667,4.7333333333
all star hotel,2791 16th st.,san francisco,ca,USA,94103,-1,-1,1,1,5,5,4,3,5,4.4
oceanview motel,4340 judah st.,san francisco,ca,USA,94122,2,194.5,19,12,3.3,3.1,2.9,4,3.5,3.36
hotel north beach,935 kearny street,san francisco,ca,USA,94133,2,126,21,9,3.8333333333,3.5,2.9166666667,3.9166666667,3.8333333333,3.6
university club,800 powell st.,san francisco,ca,USA,94108,4,199,3,3,5,3,5,5,5,4.6
edwardian san francisco hotel,1668 market street,san francisco,ca,USA,94102,2,129.67,83,9,3.3859649123,2.9473684211,3.5087719298,3.701754386,3.5263157895,3.4140350877
motel 6 san francisco downtown,895 geary street,san francisco,ca,USA,94109,2,166,17,9,3,2.8,3.3,2,2.4,2.7
